CoID,CoName,Description,CountryID,IntGICSID,ExtGICSID,CoTypeID,StatusID,InclusionDID
0,,,,,,0,,
88,SMITH INTERNATIONAL INC,"Smith International, Inc. supplies products and services to the oil and gas exploration and production industry, petrochemical industry, and other industrial markets worldwide.",1,105,105,0,18,6469
89,Weatherford International Ltd,"and services used for the drilling, completion, and production of oil and natural gas wells in the United States.",1,105,105,0,15,
90,Diamond Offshore Drilling Inc,"Diamond Offshore Drilling, Inc., through its subsidiaries, operates as an offshore oil and gas drilling contractor worldwide.",1,104,104,0,15,
91,ENSCO INTERNATIONAL INC,"ENSCO International Incorporated, along with its subsidiaries, operates as an offshore contract drilling company worldwide",1,104,104,0,15,6469
92,HELMERICH & PAYNE INC,"Helmerich & Payne, Inc. engages in the contract drilling of oil and gas wells for others in North and South America. ",1,104,104,0,15,
93,"Oil States International, Inc","Oil States International, Inc., through its subsidiaries, provides specialty products and services to oil and gas drilling and production companies worldwide.",1,105,105,0,15,
94,"Patterson-Uti Energy, Inc.","Patterson-UTI Energy, Inc. and its wholly owned subsidiaries provide onshore contract drilling services to independent oil and natural gas exploration, and production companies in North America. ",1,104,104,0,15,
95,Hydril Co,"Hydril Company engages in engineering, manufacturing, and marketing connection and pressure control products used for oil and gas drilling and production worldwide.",1,105,105,0,18,
96,"National Oilwell Varco, Inc",industry worldwide.,1,105,105,0,15,
97,Southwestern Energy Co,"Southwestern Energy Company, through its subsidiaries, engages in the exploration, production, transmission, marketing, and distribution of natural gal and oil in Arkansas, Texas, Louisiana, New Mexico, and Oklahoma. It operates through three segments",1,107,107,0,15,6469
98,"Superior Energy Services, Inc.",services and equipment focusing on serving the drilling and production-related needs of oil and gas companies primarily in the United States. It operates through five segments:,1,105,105,0,15,
99,Tetra Technologies Inc,"integrated calcium chloride and brominated products, and supplies feedstocks to energy and other markets",1,105,105,0,15,
101,Comarco Inc,"Comarco, Inc., through its subsidiary, Comarco Wireless Technologies, Inc., provides wireless test solutions for the wireless industry. ",1,244,244,0,15,
102,Cadiz Inc           ,"Cadiz, Inc. operates as a land and water resource management company in the United States. The company involves in groundwater storage and supply, and water-conserving irrigation.",1,262,262,0,13,6469
103,Refac Optical Group,Refac Optical Group operates as a store-within-a-store retailer of optical products and services in the United States.,1,137,137,0,18,6469
104,Hrg Group Inc.,Hrg Group Inc.,1,194,194,0,15,6469
105,Ark Restaurants Corp,"Ark Restaurants Corp., through its subsidiaries, engages in the ownership and operation of restaurants and fast food concepts, as well as catering bakery operations.",1,166,166,0,15,6469
106,Calavo Growers Inc,"Calavo Growers, Inc. engages in the procurement and marketing of avocados and other perishable foods, as well as in the preparation and distribution of processed avocado products worldwide.",1,194,194,0,15,6469
107,Amrep Corp ,"AMREP Corporation, together with its subsidiaries, engages in the real estate, fulfillment services, and newsstand distribution businesses.",1,137,137,0,15,
