CountryID,Name,Abbreviation,NativeLang,IsMultipleLang,DatabaseName,ServerIP,UserName,Password,Provider
0,World,,,,,,,,
1,US,US,,b'0',Jupiter,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
2,UK,UK,,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
3,Japan,JP,Japanese,b'1',Mercury,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
4,Canada,CN,French,b'0',Jupiter,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
5,Germany,GM,German,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
6,HongKong,HK,Chinese,b'1',Neptune,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
7,Australia,AU,,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
8,France,FR,French,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
9,India,IN,Hindi,b'1',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
10,Taiwan,TW,Mandarin,b'1',Mars,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
11,China,CH,Chinese,b'1',Neptune,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
12,Finland,FI,Finnish,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
13,Norway,NO,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
14,Brazil,BR,Portuguese,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
15,Korea,KR,Korean,b'1',Neptune,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
16,Italy,IT,Italian,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
17,Sweden,SE,Swedish,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
18,Singapore,SG,,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
19,Israel,IL,Hebrew,b'1',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
20,Colombia,CB,Spanish,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
21,Chile,CL,Spanish,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
22,Peru,PE,Spanish,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
23,Kuwait,KW,Arabic,b'1',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
24,Vietnam,VN,Vietnamese,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
25,Argentina,AR,Spanish,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
26,Jordan,JO,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
27,Nigeria,NG,,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
28,Austria,AT,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
29,Bahrain,BH,Arabic,b'1',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
30,Bangladesh,BD,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
31,Belgium,BE,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
32,Botswana,BW,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
33,Bulgaria,BG,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
34,Ivory Coast,CI,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
35,Croatia,HR,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
36,Cyprus,CY,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
37,Czech Republic,CZ,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
38,Denmark,DK,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
39,Egypt,EG,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
40,Estonia,EE,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
41,Greece,GR,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
42,Hungary,HU,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
43,Indonesia,ID,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
44,Ireland,IE,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
45,Kenya,KE,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
46,Lithuania,LT,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
47,Macedonia,MK,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
48,Malaysia,MY,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
49,Malta,MT,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
50,Mauritius,MU,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
51,Mexico,MX,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
52,Morocco,MA,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
53,Netherlands,NL,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
