PeriodID,PeriodIdx,Mode,PeriodName,StartDate,EndDate
200001,1,H,"H1 2000-01","2000-04-01 00:00:00","2000-09-30 00:00:00"
200001,1,Q,"Q1 2000-01","2000-04-01 00:00:00","2000-06-30 00:00:00"
200001,1,Y,"FY 2000-01","2000-04-01 00:00:00","2001-03-31 00:00:00"
200001,2,H,"H2 2000-01","2000-10-01 00:00:00","2001-03-31 00:00:00"
200001,2,Q,"Q2 2000-01","2000-07-01 00:00:00","2000-09-30 00:00:00"
200001,3,Q,"Q3 2000-01","2000-10-01 00:00:00","2000-12-31 00:00:00"
200001,4,Q,"Q4 2000-01","2001-01-01 00:00:00","2001-03-31 00:00:00"
200102,1,H,"H1 2001-02","2001-04-01 00:00:00","2001-09-30 00:00:00"
200102,1,Q,"Q1 2001-02","2001-04-01 00:00:00","2001-06-30 00:00:00"
200102,1,Y,"FY 2001-02","2001-04-01 00:00:00","2002-03-31 00:00:00"
200102,2,H,"H2 2001-02","2001-10-01 00:00:00","2002-03-31 00:00:00"
200102,2,Q,"Q2 2001-02","2001-07-01 00:00:00","2001-09-30 00:00:00"
200102,3,Q,"Q3 2001-02","2001-10-01 00:00:00","2001-12-31 00:00:00"
200102,4,Q,"Q4 2001-02","2002-01-01 00:00:00","2002-03-31 00:00:00"
200203,1,H,"H1 2002-03","2002-04-01 00:00:00","2002-09-30 00:00:00"
200203,1,Q,"Q1 2002-03","2002-04-01 00:00:00","2002-06-30 00:00:00"
200203,1,Y,"FY 2002-03","2002-04-01 00:00:00","2003-03-31 00:00:00"
200203,2,H,"H2 2002-03","2002-10-01 00:00:00","2003-03-31 00:00:00"
200203,2,Q,"Q2 2002-03","2002-07-01 00:00:00","2002-09-30 00:00:00"
200203,3,Q,"Q3 2002-03","2002-10-01 00:00:00","2002-12-31 00:00:00"
200203,4,Q,"Q4 2002-03","2003-01-01 00:00:00","2003-03-31 00:00:00"
200304,1,H,"H1 2003-04","2003-04-01 00:00:00","2003-09-30 00:00:00"
200304,1,Q,"Q1 2003-04","2003-04-01 00:00:00","2003-06-30 00:00:00"
200304,1,Y,"FY 2003-04","2003-04-01 00:00:00","2004-03-31 00:00:00"
200304,2,H,"H2 2003-04","2003-10-01 00:00:00","2004-03-31 00:00:00"
200304,2,Q,"Q2 2003-04","2003-07-01 00:00:00","2003-09-30 00:00:00"
200304,3,Q,"Q3 2003-04","2003-10-01 00:00:00","2003-12-31 00:00:00"
200304,4,Q,"Q4 2003-04","2004-01-01 00:00:00","2004-03-31 00:00:00"
